iter	Passed	Remaining
858	41351	6787
859	41396	6738
860	41446	6691
861	41496	6643
862	41549	6595
863	41599	6548
864	41654	6501
865	41709	6453
866	41759	6406
867	41811	6358
868	41853	6309
869	41905	6261
870	41947	6212
871	41997	6164
872	42045	6116
873	42097	6068
874	42153	6021
875	42196	5973
876	42242	5924
877	42292	5876
878	42336	5827
879	42392	5780
880	42445	5733
881	42494	5685
882	42543	5637
883	42589	5588
884	42642	5541
885	42690	5492
886	42745	5445
887	42789	5396
888	42837	5348
889	42893	5301
890	42940	5253
891	42985	5204
892	43035	5156
893	43079	5107
894	43131	5060
895	43182	5012
896	43227	4963
897	43278	4915
898	43332	4868
899	43382	4820
900	43432	4772
901	43488	4724
902	43540	4677
903	43583	4628
904	43630	4579
905	43671	4531
906	43721	4483
907	43770	4434
908	43814	4386
909	43862	4338
910	43913	4290
911	43967	4242
912	44015	4194
913	44061	4145
914	44107	4097
915	44162	4049
916	44216	4002
917	44271	3954
918	44314	3905
919	44363	3857
920	44412	3809
921	44466	3761
922	44515	3713
923	44565	3665
924	44619	3617
925	44670	3569
926	44722	3521
927	44776	3474
928	44829	3426
929	44879	3378
930	44922	3329
931	44972	3281
932	45020	3232
933	45070	3184
934	45117	3136
935	45163	3088
936	45214	3040
937	45263	2991
938	45304	2943
939	45355	2895
940	45405	2846
941	45456	2798
942	45512	2751
943	45560	2702
944	45607	2654
945	45651	2605
946	45703	2557
947	45751	2509
948	45802	2461
949	45852	2413
950	45918	2365
951	45966	2317
952	46010	2269
953	46070	2221
954	46118	2173
955	46163	2124
956	46214	2076
957	46260	2028
958	46316	1980
959	46363	1931
960	46418	1883
961	46467	1835
962	46514	1787
963	46563	1738
964	46612	1690
965	46665	1642
966	46712	1594
967	46759	1545
968	46805	1497
969	46862	1449
970	46909	1401
971	46957	1352
972	47010	1304
973	47065	1256
974	47120	1208
975	47171	1159
976	47217	1111
977	47265	1063
978	47316	1014
979	47362	966
980	47415	918
981	47466	870
982	47513	821
983	47559	773
984	47612	725
985	47660	676
986	47715	628
987	47776	580
988	47829	531
989	47887	483
990	47933	435
991	47976	386
992	48033	338
993	48080	290
994	48130	241
995	48178	193
996	48216	145
997	48263	96
998	48325	48
999	48377	0
